Categoría,Número,Título,Plataforma,Descripción,Observaciones
1 - SEGURIDAD Y VERIFICACIÓN DE CANALES   ,1,Acceso y protección del portal   ,Cloudflare   ,"DNS, TLS, CDN, WAF, Turnstile, control de bots y límites de intentos contra ataques al OTP y a los formularios.   ",ESENCIAL   
1 - SEGURIDAD Y VERIFICACIÓN DE CANALES   ,2,Verificación del celular   ,Infobip   ,"OTP por WhatsApp. Si no se entrega, respaldo por SMS al mismo número, conservando una sola verificación del canal telefónico.   ",ESENCIAL   
1 - SEGURIDAD Y VERIFICACIÓN DE CANALES   ,3,OTP por WhatsApp   ,WhatsApp-Modular (Meta WhatsApp Cloud API) - alternativa Infobip WhatsApp API   ,"Plantilla de autenticación, código de 6 dígitos, vigencia, intentos, resultado de entrega y webhook de confirmación. El módulo propio WhatsApp-Modular (repo segurolotengopy/WhatsAppModular, conexión directa a Meta Cloud API) cubre el OTP de P1 (PHONE_VERIFICATION) y el OTP del acto de firma simulado (SIGNATURE_P7A) vía INTEGRATION_OTP=live; Infobip queda como alternativa evaluada.   ",EN PILOTO (DEMO)
1 - SEGURIDAD Y VERIFICACIÓN DE CANALES   ,4,OTP por correo   ,Infobip 2FA Email - alternativa Amazon SES   ,"Segundo OTP, completamente distinto del celular. Registrar envío, entrega, intentos, validación, rebote y fecha/hora.   + 1",ESENCIAL   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",5,Presentación del producto y planes   ,Motor interno de SeguroLoTengo   ,"CONFÍO, CONFÍO+, y CONFÍO TOTAL deben salir de una tabla controlada y versionada: coberturas, exclusiones, prima, IVA y premio.   ",INTERNO   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",6,Consentimientos legales   ,SeguroLoTengo + Amazon S3 Object Lock   ,"Guardar texto y versión, hash, casillas aceptadas, IP, fecha/hora, sesión y dispositivo; conservar la evidencia sin sustitución.   + 1",ESENCIAL   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",7,Captura de cédula   ,Entrust Identity Verification - antes Onfido   ,"Anverso y reverso, OCR, calidad, autenticidad y extracción de nombre, número, nacimiento y vencimiento.   ",ESENCIAL   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",8,Selfie y prueba de vida   ,Entrust / Onfido   ,"Liveness, comparación facial con la fotografía de la cédula, detección de suplantación y resultado auditable.   ",ESENCIAL   
"2 - PRODUCTO, CONSENTIMIENTO E IDENTIDAD   ",9,Cédula paraguaya o de residente   ,Entrust + eventual fuente oficial autorizada   ,"Validar ambos documentos. Antes de contratar: piloto con formato nuevo, anterior y cédula de residente.   + 1",PENDIENTE DE PRUEBA   
3 - CUMPLIMIENTO Y SUSCRIPCIÓN   ,10,"Control PEP, sanciones y vinculados   ",ComplyAdvantage   ,"Consulta por identidad contra PEP, familiares y asociados, sanciones, listas de vigilancia y noticias adversas.   ",ESENCIAL   
